Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
0,0,People's Republic of China,New Energy Vehicle Tax Exemption,Low-carbon vehiclesShow budget lines,2020,In force,113908,new energy vehicle tax exemption,New Energy Vehicle Tax Exemption,100,"<div>The Chinese government implemented from 2020 onwards a tax exemption for consumers buying New Energy Vehicles, a category encompassing battery electric, hydrogen fuel cell electric, and plug-in hybrid electric vehicles.</div>",CHN
1,1,Germany,"Electricity, gas and heating price brakes",Energy affordability,2023,In force,107046,electricity gas and heating price brakes,"Electricity, gas and heating price brakes",100,"<div>The Federal Ministry for Economic Affairs and Climate Action of Germany has put in place, upon approval by Germany's lower and upper chambers in December 2022, a series of measures for electricity and gas price discounts for small and medium-sized companies and private households to face rising energy prices. The measures are part of the economic protective shield worth a total of €200 billion adopted in October 2022.<br><br>The discounts are to take place starting in March of 2023, covering the months of January and February retroactively. For small and medium-sized enterprises, the allocated amount of 80 percent of their natural gas consumption will be capped at 12 cents per kilowatt hour, while the cap for heat will be at 9.5 cents per kilowatt hour.<br><br>Households and small enterprises receive a 40 cents per kilowatt hour discount for annual electricity consumption below 30,000 KWh. For medium-sized and large companies with an annual consumption of over 30,000 KWh, the electricity price is capped at 13 cents per kilowatt hour. The electricity price discounts will apply until the end of 2023 with a possible extension until April 2024.</div>",DEU
2,2,France,Tariff shield & exceptionnal measuresPart ofEconomic and Social Resilience PlanandPower Purchasing Act,Energy affordabilityShow budget lines,2021,In force,79248,tariff shield exceptionnal measurespart ofeconomic and social resilience planandpower purchasing act,Tariff shield & exceptionnal measures,85.24590164,"<div>In order to shield domestic households, small businesses and small municipalities from the effect of energy price rises, the French government enacted a series of temporary affordability measures from the Fall 2021: <br><br></div><ul><li><em>Electricity and gas retail tariff freeze: e</em>lectricity retail tariffs  for households were capped at October 2021 levels until end 2021. Tariff control was extended until end June 2023, capping the rise at 15% from January 2023 levels. Gas retail tariffs were capped for households at October 2021 levels, until January 2023. Tariff control were extended until end June 2023, capping the rise for SMEs and small municipalities at 15% from February 2023 levels. </li><li><em>100 EUR Household subsidy  (""Indemnité inflation""), </em>meant to compensate the rise in energy expenses, and sent to around 38 million low-income beneficiaries in December 2021.</li><li><em>Energy vouchers </em>of EUR 100 for gas and electricity to low income households allocated in December 2021. The scheme has been completed with a EUR 100-200 heating subsidy, sent in November 2022.</li><li><em>Fuel subsidy (""Remise carburant"") </em>from April to end of July 2022 for the purchase of gasoline, diesel ( both discounted at EUR -18 cts), off-road fuel, fishboat fuel, LPG and NGV. The discount has been extended until end 2022, decreasing to EUR 10 cts until December 2022. Subsidies are paid to upstream fuel distributors for the volumes sold, which pass it on to the final consumer through retail or professional sellers.<br> In 2023, a EUR 100 payment (""indemnité carburant"") has been provided to 10 million low-revenue, car-dependent workers.</li><li><em>Public sector energy affordability support: </em>in November 2022, specific financial transfers were enacted for the Army, as well as for universities and public research and higher-education institutions, in order to support the payment of energy bills.  </li><li> A Guarantee scheme for collaterals for electricity and gas supply contracts enabling financial intermediaries to better cover the risks associated with guarantees provided as collateral in connection with new energy contracts, was enacted in February 2023.</li></ul>",FRA
3,3,United States,Infrastructure and Jobs act: RailPart ofInfrastructure Investment and Jobs Act,High-speed rail,2022,In force,66000,infrastructure and jobs act railpart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
4,4,Germany,Germany's Special Climate and Transformation Fund - Promotion of energy efficiency and renewable energy measures in the building sectorPart ofGermany's Special Climate and Transformation Fund,Energy efficient retrofitsShow budget lines,2021,In force,65866,germanys special climate and transformation fund promotion of energy efficiency and renewable energy measures in the building sectorpart ofgermanys special climate and transformation fund,Energy Efficiency Fund,100,"<div>The fund inlcudes 23 policy measures and provides primarily funding for energy efficiency measures in industry (horizontal technologies, waste heat utilization, efficient production processes, energy management systems for SMEs and 4th generation heat grids) and smaller measures (cross-sectoral).</div>",DEU
5,5,Japan,2022 Comprehensive emergency measures to address soaring crude oil and commodity prices,Energy affordabilityShow budget lines,2022,In force,62149,2022 comprehensive emergency measures to address soaring crude oil and commodity prices,2022 Comprehensive emergency measures to address soaring crude oil and commodity prices,100,"<div>In an effort to cushion domestic consumers from the effects of the global energy crisis, the Japanese Prime Minister put forward a JPY 6.2 trillion direct government spending package at the end of April 2022, financed by a JPY 2.7 trillion FY2022 supplementary budget, as well as government reserve funds.<br><br><br>It includes:<br> <br>-transport fuel (eg gasoline, diesel, heavy oil all aviation fuels, and a special subsidy to taxi companies), through a subsidy scheme targeting oil refining companies;<br> <br>-subsidies to help SMEs face the rise in energy and other raw material price;<br> <br>-subsidies for low income &amp; vulnerable households and subsidies for low-income families (JPY 50,000 /child);<br> <br>-transfers to subnational authorities in the form of Extraordinary Regional Revitalization Grants local governments would redistribute to households and businesses being hit by soaring electricity and gas prices;<br> <br>- Partial gas and electricity price caps.<br><br>The subsidies for gasoline, electricity and gas were extended in November 2023. On June 21, 2024, the Prime Minister announced the extension of subsidies for fuel prices until the end of 2024, as well as the reintroduction of subsidies for electricity and gas prices from August to October. The subsidies are being phase down since January 2025.</div>",JPN
6,6,Indonesia,2021-2023 Energy subsidies,Energy affordabilityShow budget lines,2021,Ended,57237,20212023 energy subsidies,2021-2023 Energy subsidies,100,"<div>The global energy crisis induced a sharp rise in the amounts dedicated by the Indonesian government to consumer subsidies and compensations for electricity, fuels and liquefied petroleum gas. <br><br>The related government budget saw a 39% rise for the year 2021, reaching IDR 243 trillion. In 2022, the soaring cost of this measure led policymakers to redirect the fuel support component to low-income consumers, with: </div><ul><li>IDR 9.6 trillion towards 14.6 million workers with wages under IDR 3.5 million. </li><li>IDR 12.4 trillion for cash assistance for petroleum fuel to 20.65 million households. Each household received IDR 150k. </li><li>IDR 2.17 trillion for public transport assistance, online bike taxi assistance and fishermen. </li></ul><div><br>The subsidies were also revised downward in September 2022, but the support was sustained in the 2023 budget. Fiscal pressures brought by the global energy crisis also led the government to suspend in 2022 the conversion programme of 3-kilogram LPG stoves to electric ones.<br><br>In 2023, the Government through Ministry of Finance continued earmarked IDR 211 trillion for fuel, LPG and electricity to cushion the volatility of commodity prices, but did not extend the direct cash assistance towards low-income households. </div>",IDN
7,7,United States,Inflation Reduction Act 2022: Sec. 13101 Extension and Modification of Credit for Electricity Produced From Certain Renewable ResourcesPart ofInflation Reduction Act of 2022,Low-carbon power,2022,In force,51060,inflation reduction act 2022 sec 13101 extension and modification of credit for electricity produced from certain renewable resourcespart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
8,8,United States,Inflation Reduction Act 2022: Sec. 13702 Clean Electricity Investment CreditPart ofInflation Reduction Act of 2022,Low-carbon power,2022,In force,50860,inflation reduction act 2022 sec 13702 clean electricity investment creditpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
9,9,People's Republic of China,Renewable Energy Electricity Subsidy for 2022,MultipleShow budget lines,2022,Ended,47841,renewable energy electricity subsidy for 2022,Renewable Energy Electricity Subsidy for 2022,100,"<div>The Chinese government earmarked subsidies for renewable electricity generation (wind, solar and biomass) provided to local public utilities and power generation companies in 2022.</div>",CHN
10,10,Germany,Capital injection and nationalisation of Uniper SE,Energy affordability,2022,In force,41071,capital injection and nationalisation of uniper se,Capital injection and nationalisation of Uniper SE,100,"<div>To secure the company's short-term liquidity, the German federal government granted EUR 34.5 billion to Uniper, in the form of an immediate cash capital increase as well as an authorised capital increase. The recapitalisation was approved by the European Commission in December 2022. Through several steps, the German federal government will eventually hold around 98.6% of the company.</div>",DEU
11,11,Norway,2022 - 2033 National Transport Plan - Railway,High-speed rail,2022,In force,40882,2022 2033 national transport plan railway,2022 - 2033 National Transport Plan - Railway,100,"<div>Targeting to halve emissions from the transport sector by 2030, compared to 2005 levels, the Government of Norway announced a National Transport Plan for 2022-2033. During that period, the government will allocate NOK 1,200 billion to the development of an efficient, eco-friendly and safe transport system with the objective to strengthen railway services in Norway. </div><div> </div><div>Within the plan, the government plans to spend close to NOK 400 billion on the railway over the next 12 years. It will in particular develop and strengthen the railway where it has an important role in the transport system with the goal to have an environmentally friendly passenger and freight transport by rail. The key for these investments is to develop new infrastructure, improve maintenance, and to enhance the digitalisation of the railway sector. <br><br>Other key components of the National Transport Plan in the railway sector include:</div><ul><li>NOK 7.5 billion for managing the railway sector </li><li>NOK 131.8 billion for operation, maintenance and renewal of the railway</li><li>NOK 46.8 billion for the purchase of new passenger trains</li><li>NOK 24 billion for investments in safety, signalling and train stations</li><li>NOK 2.6 billion for improved railway network coverage</li></ul>",NOR
